District,Crops,Kharif,Jan-water,Feb-water,Mar-water,Apr-water,May-water,Jun-water,Jul-water,Aug-water,Sep-water,Oct-water,Nov-water,Dec-water,Major,Minor
Belgaum,Bengalgram,0,31230,36111,45265,74877,89123,131556,313140,255553,184158,179244,98971,41506,Black  ,Red  
Belgaum,Maize,0,31230,36111,45265,74877,89123,131556,313140,255553,184158,179244,98971,41506,Black  ,Red  
Belgaum,Wheat,0,31230,36111,45265,74877,89123,131556,313140,255553,184158,179244,98971,41506,Black  ,Red  
Belgaum,Jowar,0,31230,36111,45265,74877,89123,131556,313140,255553,184158,179244,98971,41506,Black  ,Red  
Belgaum,Jowar,1,31230,36111,45265,74877,89123,131556,313140,255553,184158,179244,98971,41506,Black  ,Red  
Belgaum,Horsegram,0,31230,36111,45265,74877,89123,131556,313140,255553,184158,179244,98971,41506,Black  ,Red  
Bellary,Bengalgram,0,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,Wheat,0,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,H.gram,0,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,Cotton,0,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,Safflower,0,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,Jowar,0,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,Sunflower,0,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,Jowar,1,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,Maize,1,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,Bajra,1,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,Ragi,1,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,Cotton,1,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,Tur,1,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,H.gram,1,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,M.Millets,1,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,Niger,1,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,Sesamum,1,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
